feature_set,field,type
strict_static,reporting_year,numeric
strict_static,technical_efficiency_value,numeric
strict_static,ship_type,categorical
strict_static,technical_efficiency_type,categorical
strict_static,technical_efficiency_is_not_applicable,categorical
strict_static,port_of_registry,categorical
strict_static,has_home_port,categorical
strict_static,has_ice_class,categorical
strict_static,monitoring_method_a,categorical
strict_static,monitoring_method_b,categorical
strict_static,monitoring_method_c,categorical
operational_no_emission,reporting_year,numeric
operational_no_emission,technical_efficiency_value,numeric
operational_no_emission,time_spent_at_sea_hours,numeric
operational_no_emission,distance_through_ice_nm,numeric
operational_no_emission,time_spent_at_sea_through_ice_hours,numeric
operational_no_emission,ship_type,categorical
operational_no_emission,technical_efficiency_type,categorical
operational_no_emission,technical_efficiency_is_not_applicable,categorical
operational_no_emission,port_of_registry,categorical
operational_no_emission,has_home_port,categorical
operational_no_emission,has_ice_class,categorical
operational_no_emission,monitoring_method_a,categorical
operational_no_emission,monitoring_method_b,categorical
operational_no_emission,monitoring_method_c,categorical
