reporting_year,report_scope,efficiency_label_distance,rows
2018,annual_er,efficient,3875
2018,annual_er,inefficient,3864
2018,annual_er,medium,3871
2018,annual_er,unlabeled,650
2019,annual_er,efficient,4030
2019,annual_er,inefficient,4016
2019,annual_er,medium,4024
2019,annual_er,unlabeled,350
2020,annual_er,efficient,3911
2020,annual_er,inefficient,3902
2020,annual_er,medium,3905
2020,annual_er,unlabeled,397
2021,annual_er,efficient,4000
2021,annual_er,inefficient,3990
2021,annual_er,medium,3992
2021,annual_er,unlabeled,501
2022,annual_er,efficient,4354
2022,annual_er,inefficient,4347
2022,annual_er,medium,4349
2022,annual_er,unlabeled,424
2023,annual_er,efficient,4210
2023,annual_er,inefficient,4201
2023,annual_er,medium,4204
2023,annual_er,unlabeled,213
2024,full_er,efficient,4314
2024,full_er,inefficient,4286
2024,full_er,medium,4305
2024,full_er,unlabeled,1234
2024,partial_er,efficient,305
2024,partial_er,inefficient,322
2024,partial_er,medium,306
2024,partial_er,unlabeled,93
