feature_set,model,split,feature,importance_mean_macro_f1_drop,importance_std
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,technical_efficiency_value,0.228348,0.005408
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,ship_type,0.164429,0.005402
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,technical_efficiency_type,0.061719,0.002841
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,port_of_registry,0.024154,0.001670
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,time_spent_at_sea_hours,0.013235,0.001212
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,monitoring_method_c,0.006838,0.001533
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,has_ice_class,0.006393,0.001107
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,monitoring_method_b,0.003785,0.000492
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,monitoring_method_a,0.001528,0.001048
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,technical_efficiency_is_not_applicable,0.000502,0.000319
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,time_spent_at_sea_through_ice_hours,0.000242,0.000222
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,reporting_year,0.000000,0.000000
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,has_home_port,-0.000846,0.000715
operational_no_emission,hist_gradient_boosting,test_2023_stratified_subset,distance_through_ice_nm,-0.001228,0.000629
